제목,시작일,종료일,장소,이미지 URL
김진주 : 사랑을 담아,2025.03.24.,2025.04.17.,라이크디즈1601,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_8%2F1742800328774QGnSi_JPEG%2F360_main_thumb_url_1742800328750.jpg
태국 현대미술: 꿈과 사유,2025.04.05.,2025.04.20.,예술의전당 한가람미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_254%2F1742784177508W12hH_JPEG%2F360_main_thumb_url_1742784177500.jpg
Chill of Peace,2025.03.19.,2025.04.13.,갤러리밈,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_76%2F1742783935906hEXvF_JPEG%2F360_main_thumb_url_1742783935891.jpg
변주하는 알고리즘,2025.04.02.,2025.04.12.,팩토리2,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_43%2F1743398811855MHa6B_PNG%2F360_36655910_main_thumb_url_1743398811846.png
"봄, 새로운 시작",2025.04.01.,2025.04.13.,8883아트스튜디오,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250321_242%2F1742523510576pOwoL_JPEG%2F360_main_thumb_url_1742523510544.jpg
예담화경,2025.04.01.,2025.04.25.,모두미술공간,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250320_40%2F1742451581425WTG26_PNG%2F360_main_thumb_url_1742451581368.png
나점수 개인전,2025.03.18.,2025.04.12.,아트스페이스3,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_148%2F1742180504296cijb0_PNG%2F360_main_thumb_url_1742180504191.png
XXTOPIA: 미래에 대한 공상,2025.03.26.,2025.04.12.,옥상팩토리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250313_253%2F1741846824277ey4N5_JPEG%2F360_main_thumb_url_1741846824171.jpg
황도유 : 서른세송이,2025.03.14.,2025.04.12.,김리아갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250312_179%2F1741769322208p1Val_JPEG%2F360_main_thumb_url_1741769322103.jpg
진종환 : Afterglow,2025.03.20.,2025.04.18.,파이프갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250312_195%2F1741750518654kmIMG_JPEG%2F360_main_thumb_url_1741750518644.jpg
이지컴이지고,2025.03.15.,2025.04.12.,공간,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250311_100%2F1741660334543xAuC0_PNG%2F360_main_thumb_url_1741660334502.png
Rhythm of spring,2025.03.22.,2025.04.11.,갤러리엘르,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250310_57%2F1741585291893zggDj_JPEG%2F360_main_thumb_url_1741585291882.jpg
김기훈 : On the Journey,2025.04.09.,2025.04.19.,아트보다,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250304_166%2F174105884084928ofn_JPEG%2F360_main_thumb_url_1741058840809.jpg
디자인아트페어 2025,2025.04.08.,2025.04.16.,예술의전당 한가람미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250314_29%2F1741923479516ELrBJ_PNG%2F360_33788450_main_thumb_url_1741923479487.png
봄빛소나타,2025.04.09.,2025.04.22.,갤러리AN,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_98%2F1744176417338GIrim_PNG%2F360_main_thumb_url_1744176417287.png
류수 : FULL BLOOM,2025.04.05.,2025.04.13.,아트스페이스트인,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_113%2F17440791289688mOTg_JPEG%2F360_main_thumb_url_1744079128948.jpg
진실을 향한 광장의 빛,2025.04.09.,2025.04.26.,효로인디아트홀 소극장,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_140%2F1743758205107ADmzI_PNG%2F360_main_thumb_url_1743758205100.png
이정호 개인전,2025.04.01.,2025.04.27.,M543 Cafe. Gallery,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_295%2F17437514492718FcXI_PNG%2F360_main_thumb_url_1743751449206.png
